groupid,grouplabel,cycle,round,outcome
895,1,1,1,100
895,1,1,2,100
895,1,1,3,100
895,1,1,4,100
895,1,1,5,100
895,1,1,6,100
895,1,2,1,100
895,1,2,2,100
895,1,2,3,64.991531
895,1,2,4,96.600342
895,1,2,5,100
895,1,2,6,100
895,1,3,1,100
895,1,3,2,53.333332
895,1,3,3,98
895,1,3,4,97.333336
895,1,3,5,77.333336
895,1,3,6,48.666668
895,1,4,1,
895,1,4,2,
895,1,4,3,
895,1,4,4,
895,1,4,5,
895,1,4,6,
895,1,5,1,
895,1,5,2,
895,1,5,3,
895,1,5,4,
895,1,5,5,
895,1,5,6,
3,2,1,1,100
3,2,1,2,100
3,2,1,3,100
3,2,1,4,100
3,2,1,5,100
3,2,1,6,100
3,2,2,1,100
3,2,2,2,95
3,2,2,3,90.652176
3,2,2,4,90.652176
3,2,2,5,90.652176
3,2,2,6,100
3,2,3,1,100
3,2,3,2,100
3,2,3,3,100
3,2,3,4,100
3,2,3,5,100
3,2,3,6,100
3,2,4,1,
3,2,4,2,
3,2,4,3,
3,2,4,4,
3,2,4,5,
3,2,4,6,
3,2,5,1,
3,2,5,2,
3,2,5,3,
3,2,5,4,
3,2,5,5,
3,2,5,6,
6,3,1,1,100
6,3,1,2,100
6,3,1,3,100
6,3,1,4,100
6,3,1,5,100
6,3,1,6,100
6,3,2,1,100
6,3,2,2,100
6,3,2,3,100
6,3,2,4,100
6,3,2,5,100
6,3,2,6,100
6,3,3,1,100
6,3,3,2,100
6,3,3,3,100
6,3,3,4,100
6,3,3,5,100
6,3,3,6,100
6,3,4,1,100
6,3,4,2,100
6,3,4,3,100
6,3,4,4,100
6,3,4,5,100
6,3,4,6,100
6,3,5,1,
6,3,5,2,
6,3,5,3,
6,3,5,4,
6,3,5,5,
6,3,5,6,
449,4,1,1,100
449,4,1,2,100
449,4,1,3,100
449,4,1,4,100
449,4,1,5,100
449,4,1,6,97.777779
449,4,2,1,100
449,4,2,2,83.333328
449,4,2,3,100
449,4,2,4,100
449,4,2,5,100
449,4,2,6,60
449,4,3,1,100
449,4,3,2,100
449,4,3,3,100
449,4,3,4,100
449,4,3,5,100
449,4,3,6,60
449,4,4,1,
449,4,4,2,
449,4,4,3,
449,4,4,4,
449,4,4,5,
449,4,4,6,
449,4,5,1,
449,4,5,2,
449,4,5,3,
449,4,5,4,
449,4,5,5,
449,4,5,6,
17,5,1,1,100
17,5,1,2,100
17,5,1,3,80
17,5,1,4,40
17,5,1,5,0
17,5,1,6,0
17,5,2,1,
17,5,2,2,
17,5,2,3,
17,5,2,4,
17,5,2,5,
17,5,2,6,
17,5,3,1,
17,5,3,2,
17,5,3,3,
17,5,3,4,
17,5,3,5,
17,5,3,6,
17,5,4,1,
17,5,4,2,
17,5,4,3,
17,5,4,4,
17,5,4,5,
17,5,4,6,
17,5,5,1,
17,5,5,2,
17,5,5,3,
17,5,5,4,
17,5,5,5,
17,5,5,6,
18,6,1,1,100
18,6,1,2,100
18,6,1,3,100
18,6,1,4,100
18,6,1,5,100
18,6,1,6,57.971016
18,6,2,1,100
18,6,2,2,100
18,6,2,3,75.462967
18,6,2,4,0
18,6,2,5,0
18,6,2,6,0
18,6,3,1,
18,6,3,2,
18,6,3,3,
18,6,3,4,
18,6,3,5,
18,6,3,6,
18,6,4,1,
18,6,4,2,
18,6,4,3,
18,6,4,4,
18,6,4,5,
18,6,4,6,
18,6,5,1,
18,6,5,2,
18,6,5,3,
18,6,5,4,
18,6,5,5,
18,6,5,6,
835,7,1,1,100
835,7,1,2,100
835,7,1,3,100
835,7,1,4,100
835,7,1,5,100
835,7,1,6,80
835,7,2,1,100
835,7,2,2,100
835,7,2,3,100
835,7,2,4,81.44381
835,7,2,5,81.852592
835,7,2,6,96.217911
835,7,3,1,
835,7,3,2,
835,7,3,3,
835,7,3,4,
835,7,3,5,
835,7,3,6,
835,7,4,1,
835,7,4,2,
835,7,4,3,
835,7,4,4,
835,7,4,5,
835,7,4,6,
835,7,5,1,
835,7,5,2,
835,7,5,3,
835,7,5,4,
835,7,5,5,
835,7,5,6,
879,8,1,1,100
879,8,1,2,100
879,8,1,3,100
879,8,1,4,100
879,8,1,5,100
879,8,1,6,100
879,8,2,1,100
879,8,2,2,100
879,8,2,3,100
879,8,2,4,53.191612
879,8,2,5,100
879,8,2,6,100
879,8,3,1,100
879,8,3,2,100
879,8,3,3,80
879,8,3,4,100
879,8,3,5,0
879,8,3,6,30
879,8,4,1,100
879,8,4,2,100
879,8,4,3,100
879,8,4,4,98.46154
879,8,4,5,100
879,8,4,6,57.333332
879,8,5,1,100
879,8,5,2,100
879,8,5,3,100
879,8,5,4,100
879,8,5,5,100
879,8,5,6,0
