total_cycles,cycle,round,prop100,prop75,prop50,prop25,prop1,prop0
0,1,1,.99559474,.0044052862,0,0,0,0
0,1,2,.98940152,.0074812965,.0024937657,0,.00062344142,0
0,1,3,.97154289,.020453535,.0035571365,.0017785683,0,.0026678524
0,1,4,.95022053,.027725268,.006931317,.0037807184,0,.011342155
0,1,5,.9287945,.03372892,.0056214863,.006246096,.0018738288,.023735166
0,1,6,.88539326,.045393258,.0089887641,.02247191,.0076404493,.03011236
0,2,1,.97570455,.019436346,0,0,0,.0048590866
0,2,2,.94910717,.03125,.0080357147,.0044642859,.00089285715,.0062500001
0,2,3,.89934641,.05751634,.0091503272,.0026143792,.0045751636,.026797386
0,2,4,.8206628,.094541907,.018518519,.011695907,.0048732944,.049707603
0,2,5,.80361992,.079638012,.025339367,.014479638,.0027149322,.074208148
0,2,6,.78905207,.057409879,.012683578,.016021362,.014018691,.11081442
0,3,1,.97116643,.015727391,.0039318479,0,0,.0091743115
0,3,2,.92713326,.037392139,.012464046,.0028763183,0,.020134227
0,3,3,.84651792,.081812032,.018931711,.01081812,.0060851928,.035835024
0,3,4,.77105266,.11842106,.017105263,.014473684,.0052631581,.073684208
0,3,5,.7392996,.11284047,.029182879,.023346303,.0087548634,.086575873
0,3,6,.75,.070530728,.022346368,.022346368,.027932961,.10684358
0,4,1,.9512195,.042682927,.0020325202,0,0,.0040650405
0,4,2,.88850576,.08275862,.0057471264,.0011494253,0,.02183908
0,4,3,.79434168,.12295974,.016322089,.017410228,.0021762785,.046789989
0,4,4,.73116088,.13034624,.024439918,.022403259,.0061099795,.085539714
0,4,5,.68881118,.13752913,.017482517,.033799533,.0046620048,.11771562
0,4,6,.71444571,.063829787,.020156775,.029115342,.026875701,.1455767
0,5,1,.95102042,.044897959,0,0,0,.0040816325
0,5,2,.88390499,.079155676,.0052770451,0,.0026385225,.029023746
0,5,3,.84693879,.081632651,.017857144,.015306123,0,.038265307
0,5,4,.71721309,.12295082,.012295082,.049180329,.0040983604,.094262294
0,5,5,.70855618,.090909094,.04812834,.056149732,.0026737968,.093582891
0,5,6,.73796791,.072192512,.013368984,.042780749,.010695187,.12299465
1,1,1,.99559474,.0044052862,0,0,0,0
1,1,2,.98940152,.0074812965,.0024937657,0,.00062344142,0
1,1,3,.97154289,.020453535,.0035571365,.0017785683,0,.0026678524
1,1,4,.95022053,.027725268,.006931317,.0037807184,0,.011342155
1,1,5,.9287945,.03372892,.0056214863,.006246096,.0018738288,.023735166
1,1,6,.88539326,.045393258,.0089887641,.02247191,.0076404493,.03011236
2,1,1,.99707603,.0029239766,0,0,0,0
2,1,2,.99322361,.0048402711,.0019361085,0,0,0
2,1,3,.98316497,.013468013,.00084175082,.00084175082,0,.0016835016
2,1,4,.97660822,.014619883,.0038986355,0,0,.0048732944
2,1,5,.96515006,.01839303,.0029041627,.0019361085,.00096805423,.010648596
2,1,6,.91750842,.057239056,.005050505,.0075757578,.0033670033,.0092592593
2,2,1,.97570455,.019436346,0,0,0,.0048590866
2,2,2,.94910717,.03125,.0080357147,.0044642859,.00089285715,.0062500001
2,2,3,.89934641,.05751634,.0091503272,.0026143792,.0045751636,.026797386
2,2,4,.8206628,.094541907,.018518519,.011695907,.0048732944,.049707603
2,2,5,.80361992,.079638012,.025339367,.014479638,.0027149322,.074208148
2,2,6,.78905207,.057409879,.012683578,.016021362,.014018691,.11081442
3,1,1,.99730092,.0026990552,0,0,0,0
3,1,2,.99596232,.00269179,.001345895,0,0,0
3,1,3,.98717946,.011538462,0,.0012820513,0,0
3,1,4,.97975707,.014844804,.0026990552,0,0,.0026990552
3,1,5,.97039032,.016150741,.00269179,.001345895,.001345895,.0080753705
3,1,6,.90512818,.071794875,.0051282053,.0076923077,.0051282053,.0051282053
