total_cycles,cycle,round,prop100,prop75,prop50,prop25,prop1,prop0
0,1,1,.85210824,.125236,.011957206,.010069226,.00062932662,0
0,1,2,.76371568,.18952619,.036159601,.0068578552,.003117207,.00062344142
0,1,3,.66429526,.22987995,.067140952,.029791018,.006224989,.0026678524
0,1,4,.61436671,.2589792,.073724009,.030245747,.010712035,.011972275
0,1,5,.56839478,.26233605,.090568393,.041224234,.013741411,.023735166
0,1,6,.60674155,.1905618,.097078651,.062022474,.013483146,.03011236
0,2,1,.65500486,.2857143,.040816326,.011661808,.0019436346,.0048590866
0,2,2,.72678572,.19196428,.053571429,.020535715,.00089285715,.0062500001
0,2,3,.55686277,.28627452,.088235296,.034640525,.0058823531,.028104575
0,2,4,.5847953,.21832359,.096491225,.042884991,.007797271,.049707603
0,2,5,.51131225,.22443439,.13031675,.047058824,.010859729,.076018102
0,2,6,.5186916,.21161549,.10614152,.046728972,.0060080108,.11081442
0,3,1,.53079945,.33420709,.068152033,.041939713,.015727391,.0091743115
0,3,2,.46021092,.34036434,.11313519,.044103548,.019175455,.023010546
0,3,3,.39080459,.35361731,.13116971,.063556455,.025016904,.035835024
0,3,4,.34078947,.32763159,.16973685,.061842106,.025,.075000003
0,3,5,.27431905,.32198444,.19747081,.093385212,.026264591,.086575873
0,3,6,.37290502,.2325419,.17667598,.090782121,.018854748,.10824022
0,4,1,.54065043,.33536586,.097560972,.020325202,.0020325202,.0040650405
0,4,2,.38390803,.40000001,.14252874,.037931036,.013793103,.02183908
0,4,3,.27856365,.35690969,.2328618,.069640912,.01523395,.046789989
0,4,4,.23421589,.32382891,.25661916,.079429738,.020366598,.085539714
0,4,5,.23310024,.27972028,.23543124,.10606061,.024475524,.12121212
0,4,6,.35274357,.19484882,.20044793,.077267639,.027995521,.14669652
0,5,1,.61632651,.34285715,.024489796,.0040816325,.008163265,.0040816325
0,5,2,.46701846,.39577836,.081794195,.023746701,.0026385225,.029023746
0,5,3,.33163264,.38010204,.20663266,.035714287,.0076530613,.038265307
0,5,4,.3114754,.29918033,.21311475,.049180329,.028688524,.098360658
0,5,5,.27005348,.28342247,.22192514,.072192512,.05882353,.093582891
0,5,6,.39572191,.19518717,.14438502,.085561499,.056149732,.12299465
1,1,1,.85210824,.125236,.011957206,.010069226,.00062932662,0
1,1,2,.76371568,.18952619,.036159601,.0068578552,.003117207,.00062344142
1,1,3,.66429526,.22987995,.067140952,.029791018,.006224989,.0026678524
1,1,4,.61436671,.2589792,.073724009,.030245747,.010712035,.011972275
1,1,5,.56839478,.26233605,.090568393,.041224234,.013741411,.023735166
1,1,6,.60674155,.1905618,.097078651,.062022474,.013483146,.03011236
2,1,1,.88304096,.10818713,.0048732944,.0029239766,.00097465888,0
