client_id,economic,duty,reputation,solidarity,own_share,others_share
G1.C1,1,1,0,1,1,0
G1.C2,0,1,0,0,1,0
G2.C3,1,1,1,1,1,0
G2.C4,1,0,1,1,1,0
G3.C5,0,1,0,1,1,0
G4.C6,0,1,0,0,1,0
G4.C7,1,0,1,0,1,0
G5.C8,0,1,1,1,1,0
G6.C9,1,1,0,1,1,0
G6.C10,0,1,1,1,1,0
G7.C11,1,1,0,1,1,0
G8.C12,1,1,0,1,1,0
G8.C13,1,1,0,1,1,0
G8.C14,0,1,0,0,1,0
G8.C15,0,0,0,1,1,0
G9.C16,1,1,0,1,1,0
G9.C17,1,1,1,1,1,0
G10.C18,1,1,0,1,1,0
G10.C19,1,1,0,1,1,0
G11.C20,0,1,1,1,1,0
G12.C21,0,0,1,0,1,0
G12.C22,1,0,1,1,1,0
G13.C23,1,0,0,0,1,0
G13.C24,0,1,0,0,1,0
G13.C25,1,0,0,0,1,0
G14.C26,0,1,1,1,1,0
G14.C27,0,0,0,1,1,0
G14.C28,0,1,1,1,1,0
G15.C29,0,1,1,1,1,0
G15.C30,0,0,0,1,1,0
G16.C31,0,1,0,1,1,0
G16.C32,0,1,0,1,1,0
G16.C33,0,0,1,0,1,0
G17.C34,0,1,1,1,1,0
G17.C35,0,1,0,1,1,0
G18.C36,0,1,0,1,1,0
G18.C37,0,1,0,1,1,0
G19.C38,0,1,0,1,1,0
G20.C39,1,1,1,1,1,0
G20.C40,0,1,0,1,1,0
G21.C41,1,1,1,1,1,0
G21.C42,0,0,0,1,1,0
G22.C43,0,1,0,1,1,0
G22.C44,0,1,0,1,1,0
G22.C45,1,1,1,1,1,0
G23.C46,0,1,0,1,1,0
G23.C47,0,1,1,0,1,0
G24.C48,0,0,1,1,1,0
G24.C49,0,1,0,1,1,0
G25.C50,0,0,1,0,1,0
G25.C51,1,0,1,0,1,0
G26.C52,0,1,1,1,1,0
G26.C53,0,0,0,1,1,0
G27.C54,0,0,0,1,1,0
G28.C55,0,1,1,0,1,0
G29.C56,0,0,0,0,1,0
G30.C57,0,1,1,0,1,0
G31.C58,0,1,0,1,1,0
G32.C59,1,1,0,1,1,0
G33.C60,1,0,0,0,1,0
G33.C61,0,0,0,1,1,0
G34.C62,0,1,0,1,1,0
G34.C63,0,1,1,1,1,0
G35.C64,1,0,1,1,1,0
G1.C1,0,0,0,1,0,1
G1.C2,0,0,0,0,0,1
G2.C3,0,0,0,1,0,1
G2.C4,0,0,0,1,0,1
G3.C5,0,1,0,0,0,1
G4.C6,0,0,0,1,0,1
G4.C7,0,0,0,0,0,1
G5.C8,0,1,0,0,0,1
G6.C9,0,0,0,1,0,1
G6.C10,0,1,0,0,0,1
G7.C11,0,1,0,1,0,1
G8.C12,0,0,0,1,0,1
G8.C13,0,0,0,0,0,1
G8.C14,0,0,0,0,0,1
G8.C15,0,0,0,1,0,1
G9.C16,0,0,0,1,0,1
G9.C17,0,1,0,1,0,1
G10.C18,0,0,0,0,0,1
G10.C19,0,0,0,0,0,1
G11.C20,0,1,0,0,0,1
G12.C21,0,0,1,0,0,1
G12.C22,0,0,1,0,0,1
G13.C23,0,1,0,0,0,1
G13.C24,0,0,0,0,0,1
G13.C25,0,0,0,0,0,1
G14.C26,0,0,0,1,0,1
G14.C27,0,0,0,0,0,1
G14.C28,0,0,0,1,0,1
G15.C29,0,0,0,0,0,1
G15.C30,0,0,0,0,0,1
G16.C31,0,0,0,1,0,1
G16.C32,0,0,0,0,0,1
G16.C33,0,0,0,0,0,1
G17.C34,0,0,0,1,0,1
G17.C35,0,0,0,0,0,1
G18.C36,0,0,0,1,0,1
G18.C37,0,1,0,0,0,1
G19.C38,0,0,0,0,0,1
G20.C39,0,0,0,0,0,1
G20.C40,0,0,0,0,0,1
G21.C41,0,0,0,1,0,1
G21.C42,0,0,1,0,0,1
G22.C43,0,0,0,1,0,1
G22.C44,0,0,0,0,0,1
G22.C45,0,0,0,0,0,1
G23.C46,0,1,0,1,0,1
G23.C47,0,0,0,0,0,1
G24.C48,0,0,0,0,0,1
G24.C49,0,0,0,0,0,1
G25.C50,0,0,0,0,0,1
G25.C51,0,1,0,0,0,1
G26.C52,0,0,0,0,0,1
G26.C53,0,1,0,1,0,1
G27.C54,0,0,0,1,0,1
G28.C55,0,0,0,1,0,1
G29.C56,0,0,0,0,0,1
G30.C57,0,1,1,0,0,1
G31.C58,0,0,0,0,0,1
G32.C59,0,1,0,0,0,1
G33.C60,0,1,0,0,0,1
G33.C61,0,0,0,1,0,1
G34.C62,0,0,0,0,0,1
G34.C63,0,0,0,0,0,1
G35.C64,0,0,0,0,0,1
